time,volume,high,open,low,close
2018-03-19 14:30:10,828309,49.6699981689,49.6500015259,49.1650009155,49.3400001526
2018-03-16 09:30:00,2539300,49.8199996948,49.5800018311,49.5699996948,49.5900001526
2018-03-15 09:30:00,1176500,49.4300003052,48.9799995422,48.9599990845,49.25
2018-03-14 09:30:00,1693200,49.0400009155,49.0,48.6399993896,48.7299995422
2018-03-13 09:30:00,1423600,49.5099983215,49.4000015259,48.9199981689,49.0400009155
2018-03-12 09:30:00,1408200,49.5600013733,49.4300003052,49.3600006104,49.3899993896
2018-03-09 09:30:00,1311400,49.5999984741,49.2599983215,49.1899986267,49.5499992371
2018-03-08 09:30:00,1278200,49.2000007629,49.1199989319,48.8800010681,49.0900001526
2018-03-07 09:30:00,1216900,49.3100013733,49.1100006104,48.7900009155,49.2400016785
2018-03-06 09:30:00,1675300,49.4900016785,49.4500007629,49.0999984741,49.3800010681
2018-03-05 09:30:00,1556300,49.4700012207,48.6899986267,48.6199989319,49.3100013733
2018-03-02 09:30:00,2283700,49.5200004578,49.1399993896,48.9300003052,49.4799995422
2018-03-01 09:30:00,2673600,50.0,49.9300003052,49.2700004578,49.5999984741
2018-02-28 09:30:00,1902700,50.3899993896,50.3199996948,49.5999984741,49.6300010681
2018-02-27 09:30:00,2137300,50.6800003052,50.4599990845,50.1500015259,50.1599998474
2018-02-26 09:30:00,1565200,51.1599998474,50.7900009155,50.7400016785,51.1599998474
2018-02-23 09:30:00,1393000,51.2599983215,50.9599990845,50.9300003052,51.2299995422
2018-02-22 09:30:00,1844900,51.3100013733,51.1300010681,50.7700004578,51.0400009155
2018-02-21 09:30:00,1987500,52.9300003052,52.3199996948,52.1800003052,52.1800003052
2018-02-20 09:30:00,3009300,52.1300010681,51.8300018311,51.5400009155,52.0200004578
2018-02-16 09:30:00,1681500,54.1599998474,53.6699981689,53.6199989319,53.8300018311
2018-02-15 09:30:00,2080100,53.8800010681,53.8600006104,53.25,53.75
2018-02-14 09:30:00,1806200,53.3100013733,52.3300018311,52.2900009155,53.2000007629
2018-02-13 09:30:00,1414200,51.7999992371,51.6300010681,51.4799995422,51.6800003052
2018-02-12 09:30:00,2054900,51.6599998474,50.9799995422,50.7900009155,51.3800010681
2018-02-09 09:30:00,3197400,51.7000007629,51.1599998474,50.1500015259,51.3899993896
2018-02-08 09:30:00,2723400,52.3400001526,52.3300018311,50.8499984741,50.8499984741
2018-02-07 09:30:00,2349700,52.2000007629,51.4700012207,51.4700012207,51.7400016785
2018-02-06 09:30:00,3959500,52.5200004578,51.0900001526,50.9700012207,52.3499984741
2018-02-05 09:30:00,3265900,53.2999992371,53.0200004578,51.5400009155,51.5800018311
2018-02-02 09:30:00,1617600,53.7799987793,53.7299995422,53.2099990845,53.2900009155
2018-02-01 09:30:00,1299800,54.2299995422,54.0099983215,53.9000015259,54.1300010681
2018-01-31 09:30:00,1548200,54.2799987793,54.1399993896,53.8499984741,53.9099998474
2018-01-30 09:30:00,1703900,54.5600013733,54.5,54.1500015259,54.2000007629
2018-01-29 09:30:00,1628200,54.9500007629,54.6399993896,54.6100006104,54.7400016785
2018-01-26 09:30:00,1798200,55.4500007629,55.2200012207,55.0099983215,55.4199981689
2018-01-25 09:30:00,1517000,55.5999984741,55.5999984741,55.0699996948,55.1199989319
2018-01-24 09:30:00,2080200,55.8899993896,55.8600006104,55.4000015259,55.5999984741
2018-01-23 09:30:00,2032400,55.5600013733,55.3699989319,55.2599983215,55.4599990845
2018-01-22 09:30:00,1814800,55.5,55.3499984741,55.2299995422,55.4700012207
2018-01-19 09:30:00,3266100,55.3600006104,55.0999984741,55.0999984741,55.3600006104
2018-01-18 09:30:00,2950600,55.5400009155,54.9700012207,54.9099998474,55.3899993896
2018-01-17 09:30:00,2682700,55.7000007629,54.9599990845,54.8300018311,55.6199989319
2018-01-16 09:30:00,3301500,55.2000007629,54.6399993896,54.6300010681,54.9000015259
2018-01-12 09:30:00,2119700,54.8800010681,54.3800010681,54.3499984741,54.8300018311
2018-01-11 09:30:00,1322700,54.3400001526,54.1699981689,54.0900001526,54.2999992371
2018-01-10 09:30:00,2724500,54.1800003052,53.8800010681,53.7000007629,53.9199981689
2018-01-09 09:30:00,1272700,52.25,51.9799995422,51.9799995422,52.1500015259
2018-01-08 09:30:00,1255300,51.8499984741,51.6300010681,51.6199989319,51.75
2018-01-05 09:30:00,1871100,52.1800003052,52.0200004578,51.8899993896,52.1699981689
2018-01-04 09:30:00,2857400,52.3100013733,52.0499992371,52.0299987793,52.2599983215
2018-01-03 09:30:00,2283600,52.1699981689,51.6699981689,51.6699981689,52.1500015259
2018-01-02 09:30:00,2119600,52.4399986267,52.0,51.8899993896,52.4099998474
2017-12-29 09:30:00,2013400,51.8600006104,51.7299995422,51.6399993896,51.6399993896
2017-12-28 09:30:00,1207300,51.5499992371,51.3800010681,51.3600006104,51.5200004578
2017-12-27 09:30:00,1459500,51.5299987793,51.3800010681,51.3199996948,51.4799995422
2017-12-26 09:30:00,1407400,51.7200012207,51.4099998474,51.4099998474,51.5200004578
2017-12-22 09:30:00,2048300,51.7299995422,51.4500007629,51.3499984741,51.6599998474
2017-12-21 09:30:00,2968900,51.5200004578,51.1100006104,51.0699996948,51.4700012207
2017-12-20 09:30:00,7156100,51.1899986267,51.1699981689,50.8600006104,51.0999984741
2017-12-19 09:30:00,874700,50.6899986267,50.5800018311,50.4099998474,50.5400009155
2017-12-18 09:30:00,1454100,50.9000015259,50.6899986267,50.5800018311,50.7000007629
2017-12-15 09:30:00,1374200,50.3100013733,50.25,50.0900001526,50.1699981689
2017-12-14 09:30:00,1425600,51.0999984741,50.9399986267,50.8600006104,50.9099998474
2017-12-13 09:30:00,2272400,51.7099990845,51.4599990845,51.3800010681,51.4399986267
2017-12-12 09:30:00,1019400,50.6300010681,50.2000007629,50.1800003052,50.5499992371
2017-12-11 09:30:00,1830100,50.2799987793,49.9300003052,49.9300003052,50.2000007629
2017-12-08 09:30:00,1249400,49.4199981689,49.2799987793,49.0499992371,49.3699989319
2017-12-07 09:30:00,1201300,48.9199981689,48.4599990845,48.4199981689,48.8199996948
2017-12-06 09:30:00,1185300,48.6599998474,48.5999984741,48.4599990845,48.5499992371
2017-12-05 09:30:00,1151600,49.3400001526,49.2599983215,49.0400009155,49.0800018311
2017-12-04 09:30:00,1190000,49.6199989319,49.5299987793,49.25,49.3400001526
2017-12-01 09:30:00,1770900,49.7400016785,49.5499992371,49.1599998474,49.5600013733
2017-11-30 09:30:00,1995200,49.9799995422,49.8300018311,49.5600013733,49.6500015259
2017-11-29 09:30:00,1701700,50.0699996948,49.8600006104,49.5,49.7900009155
2017-11-28 09:30:00,1736900,49.8899993896,49.3699989319,49.2400016785,49.8300018311
2017-11-27 09:30:00,929700,49.4000015259,49.2299995422,49.0400009155,49.0400009155
2017-11-24 09:30:00,420100,49.1500015259,49.0999984741,48.9900016785,49.0400009155
2017-11-22 09:30:00,1168900,49.2599983215,49.1800003052,48.9700012207,49.1800003052
2017-11-21 09:30:00,984100,48.4399986267,48.3300018311,48.2400016785,48.3499984741
2017-11-20 09:30:00,767900,48.4099998474,48.3400001526,48.2299995422,48.3400001526
2017-11-17 09:30:00,614100,48.3899993896,48.1199989319,48.1199989319,48.2799987793
2017-11-16 09:30:00,712100,48.4500007629,48.4000015259,48.1599998474,48.2700004578
2017-11-15 09:30:00,838000,48.5099983215,48.0299987793,47.9599990845,48.4300003052
2017-11-14 09:30:00,905400,48.3699989319,48.0400009155,48.0200004578,48.3199996948
2017-11-13 09:30:00,1059400,48.2799987793,48.0299987793,47.9900016785,48.2599983215
2017-11-10 09:30:00,1159800,48.9599990845,48.75,48.6699981689,48.7200012207
2017-11-09 09:30:00,1339200,48.75,48.6599998474,48.4300003052,48.6800003052
2017-11-08 09:30:00,1208800,48.4500007629,48.2700004578,48.2000007629,48.3499984741
2017-11-07 09:30:00,1531600,48.2599983215,48.2000007629,47.9700012207,48.0499992371
2017-11-06 09:30:00,717400,48.2999992371,48.1899986267,48.0600013733,48.2599983215
2017-11-03 09:30:00,703700,48.4300003052,48.4199981689,48.25,48.3499984741
2017-11-02 09:30:00,1383700,48.3800010681,48.25,48.1399993896,48.3499984741
2017-11-01 09:30:00,1601400,48.8899993896,48.7700004578,48.5099983215,48.6800003052
2017-10-31 09:30:00,1104800,48.9399986267,48.9399986267,48.7000007629,48.7700004578
2017-10-30 09:30:00,1692700,48.7799987793,48.6899986267,48.5299987793,48.7400016785
2017-10-27 09:30:00,1055200,49.2799987793,49.1100006104,48.9399986267,49.1800003052
